source_id,name,authority,url,type,class_name,series,subject,available_content,access_mode,download_rights,official_status,validation_status,consulted_at,notes
SRC-DPFC-PROG,DPFC — programmes éducatifs et guides du secondaire,DPFC,https://dpfc-ci.net/?page_id=283,catalogue_officiel,Toutes,Toutes,Toutes,Programmes et guides,public,à_vérifier,officiel,inventorié,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-DPFC-PROGR,DPFC — progressions du secondaire,DPFC,https://dpfc-ci.net/?page_id=5267,progression_officielle,Toutes,Toutes,Toutes,Progressions annuelles,public,à_vérifier,officiel,inventorié,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-DPFC-EVAL,DPFC — formats d’évaluation,DPFC,https://dpfc-ci.net/?page_id=69,format_evaluation,Toutes,Toutes,Toutes,Formats et grilles,public,à_vérifier,officiel,inventorié,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-MATH-3E,Programme Mathématiques Troisième,DPFC,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,programme_pdf,Troisième,,Mathématiques,Programme éducatif,public,document_public_unitaire,officiel,document_local_disponible,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-PC-3E,Programme Physique-Chimie Troisième,DPFC,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/Physique_Chimie/PHYSIQUE-CHIMIE_3eme.pdf,programme_pdf,Troisième,,Physique-Chimie,Programme éducatif,public,document_public_unitaire,officiel,document_local_disponible,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-MATH-TC,Programme Mathématiques Terminale C,DPFC,https://dpfc-ci.net/dpfc/programmes/maths/13.%20Prog%20Educt%20maths%20TC%20CND%200923.pdf,programme_pdf,Terminale C,C,Mathématiques,Programme éducatif,public,à_vérifier,officiel,url_inventoriée,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-MATH-TD,Programme Mathématiques Terminale D,DPFC,https://dpfc-ci.net/dpfc/programmes/maths/14.%20Prog%20Educt%20maths%20TD%20CND%200923.pdf,programme_pdf,Terminale D,D,Mathématiques,Programme éducatif,public,à_vérifier,officiel,url_inventoriée,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-PC-TD,Programme Physique-Chimie Terminale D,DPFC,https://dpfc-ci.net/wp-content/uploads/dpfc_fichiers/2019-2020/programmes%20secondaires%202e%20cycle/pc/Programme%20Educatif%20-%20Terminale%20D.pdf,programme_pdf,Terminale D,D,Physique-Chimie,Programme éducatif,public,à_vérifier,officiel,url_inventoriée,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-PC-PROGR-2526,Progressions Physique-Chimie 2025-2026,DPFC,https://dpfc-ci.net/dpfc/2026/progressions/Physique-Chimie%20Progressions%202025-2026.pdf,progression_pdf,Toutes,C/D,Physique-Chimie,Progression,public,à_vérifier,officiel,url_inventoriée,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-ECOLE-CI,Mon École à la Maison,MENA,https://ecole-ci.org/,portail_cours,Toutes,Toutes,Toutes,Cours numériques,authentification_possible,non_collecté,officiel,métadonnées_seulement,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-DECO,DECO,MENA-DECO,https://www.men-deco.org/,portail_examens,Toutes,Toutes,Toutes,Informations examens,public/protégé,non_collecté,officiel,métadonnées_seulement,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-FOMESOUTRA,Fomesoutra,Communautaire,https://www.fomesoutra.com/,banque_documents,Toutes,Toutes,Toutes,Sujets et ressources,public,droits_à_vérifier,communautaire,métadonnées_seulement,2026-07-23,Inventaire unitaire; aucune collecte massive.
SRC-SCIQ,SciQ,Allen Institute for AI,https://huggingface.co/datasets/allenai/sciq,dataset,non_ivoirien,,Sciences,QCM scientifiques,public,licence_CC-BY-NC-3.0,complément_non_curriculaire,prévu,2026-07-23,Inventaire unitaire; aucune collecte massive.
